"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
7,18,551,"B08BSJ44TH",false,4.99,"USD",0,0,0,288,4.5,"https://www.amazon.com/dp/B08BSJ44TH","1296.00",false,false,false,false,"Kite Hill, Blissful Yogurt Plain Unsweetened, 16 Ounce","https://m.media-amazon.com/images/I/61OVdvFn+mL._AC_UL320_.jpg"
7,19,552,"B07X4ZQSPS",false,19.98,"USD",0,0,0,18,4.9,"https://www.amazon.com/dp/B07X4ZQSPS","88.20",false,false,false,false,"GoGo SqueezYogutrz (16) 3oz packs --- (8) Peach & (8) Strawberry","https://m.media-amazon.com/images/I/51VyHdMEW9L._AC_UL320_.jpg"
7,20,553,"B00CHUDFQC",false,52.9,"USD",0,0,0,8,4.1,"https://www.amazon.com/dp/B00CHUDFQC","32.80",false,false,false,false,"Yoplait Original Harvest Peach Yogurt, 6 Ounce -- 12 per case.","https://m.media-amazon.com/images/I/61-ZLjKgCAL._AC_UL320_.jpg"
7,21,554,"B07818XQJ4",false,10.99,"USD",0,0,0,167,4.6,"https://www.amazon.com/dp/B07818XQJ4","768.20",false,false,false,false,"Anitas Creamline, Yogurt Coconut Organic, 16 Ounce","https://m.media-amazon.com/images/I/81FuraHmfdL._AC_UL320_.jpg"
7,23,556,"B01MV650L0",false,52.22,"USD",0,0,0,7,3.8,"https://www.amazon.com/dp/B01MV650L0","26.60",false,false,false,false,"Light and Fit Multipack Peach Strawberry Yogurt, 4 Ounce -- 24 per case.","https://m.media-amazon.com/images/I/51qbSUwALHL._AC_UL320_.jpg"
7,24,557,"B07L9NV8GR",false,22.99,"USD",0,0,0,330,4.4,"https://www.amazon.com/dp/B07L9NV8GR","1452.00",false,false,false,true,"Sponsored Ad - Angel Specialty Products, Blended Smoothie, Frappe Powder Mix, Orange Creamsicle [3 LB] [34 Servings]","https://m.media-amazon.com/images/I/611dp5gcDEL._AC_UL320_.jpg"
7,25,558,"B000VK2LO2",false,4.29,"USD",0,0,0,5168,4.7,"https://www.amazon.com/dp/B000VK2LO2","24289.60",false,false,false,true,"Sponsored Ad - Weetabix Whole Grain Cereal Biscuits, Non-GMO Project Verified, Heart Healthy, Kosher, Vegan, 14 Oz Box","https://m.media-amazon.com/images/I/81gIKNmmgVL._AC_UL320_.jpg"
7,26,559,"B07SQB7GF2",false,7.99,"USD",0,0,0,8537,4,"https://www.amazon.com/dp/B07SQB7GF2","34148.00",false,false,false,true,"Sponsored Ad - Catalina Crunch Dark Chocolate Keto Cereal (9oz Bags) | Low Carb, Sugar Free, Gluten Free, Grain Free | Ket...","https://m.media-amazon.com/images/I/61-NRmC+lMS._AC_UL320_.jpg"
7,27,560,"B082JYGH3J",false,12.96,"USD",0,0,0,983,4.3,"https://www.amazon.com/dp/B082JYGH3J","4226.90",false,false,false,true,"Sponsored Ad - simplyFUEL KETO Granola | Low Carb Keto Cereal | 1 g Net Carbs | No SUGAR | Gluten Free | Vegan | MCT Oil |...","https://m.media-amazon.com/images/I/61nCuKf8wpL._AC_UL320_.jpg"
7,28,561,"B01M7YXBL2",false,16.99,"USD",0,0,0,644,4.6,"https://www.amazon.com/dp/B01M7YXBL2","2962.40",false,false,false,true,"Sponsored Ad - Balance Bar, Healthy Protein Snacks, Yogurt Honey Peanut, With Vitamin A, Vitamin C, Vitamin D, and Zinc to...","https://m.media-amazon.com/images/I/61fxsnbw2tL._AC_UL320_.jpg"
9,11,562,"B01M7YXBL2",false,16.99,"USD",0,0,0,644,4.6,"https://www.amazon.com/dp/B01M7YXBL2","2962.40",false,false,false,true,"Sponsored Ad - Balance Bar, Healthy Protein Snacks, Yogurt Honey Peanut, With Vitamin A, Vitamin C, Vitamin D, and Zinc to...","https://m.media-amazon.com/images/I/61fxsnbw2tL._AC_UL320_.jpg"
12,11,563,"B0006006L2",false,19.48,"USD",0,0,0,1290,4.8,"https://www.amazon.com/dp/B0006006L2","6192.00",false,false,false,true,"Sponsored Ad - Filippo Berio Olive Oil, 50.7 Ounce PET Bottle","https://m.media-amazon.com/images/I/81d28nUK9eL._AC_UL320_.jpg"
